application_key,fixture,status,old_weighted_score,new_weighted_score,old_final_score,new_final_score,old_tier,new_tier,old_lane,new_lane,old_approval,new_approval,old_floors,new_floors,factor_deltas,sentinel_acquisitions,sentinel_removals,classification,explanation,expected
31a8bbce3b253832,False,draft,31.0,31.0,55.0,55.0,HIGH,HIGH,EDD,EDD,blocked,blocked,"[""floor_rule_high_risk_sector""]","[""floor_rule_high_risk_sector""]",{},"[""stale:unmapped_complexity:05da8fcc305c"",""stale:unmapped_entity_type:949260d787d5"",""stale:unmapped_monthly_volume:f9c6566e431d"",""stale:unmapped_ownership:241cc254ab91"",""stale:unmapped_sector:e3b3dfa0a3c4"",""stale:unmapped_service:b31f77b68983"",""stale:unmapped_service:b6f0d36c88f8""]",[],BLOCKED,new fail-closed unresolved sentinel,True
41d12517be7cf6e4,False,kyc_documents,27.7,27.7,27.7,27.7,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8""]",[],READY_AFTER_DATA_CLEANUP,new fail-closed unresolved sentinel,True
9971b727d07c45f0,False,pre_approval_review,39.7,37.7,55.0,55.0,HIGH,HIGH,EDD,EDD,blocked,blocked,"[""floor_rule_elevated_jurisdiction""]","[""floor_rule_elevated_jurisdiction""]","{""monthly_volume"":{""new"":1.0,""old"":2.0}}","[""stale:unmapped_complexity:9b4aa98957a8"",""stale:unmapped_entity_type:d2e8adaee888"",""stale:unmapped_sector:c684ce75c5a9""]",[],BLOCKED,approved mapping/parser change: monthly_volume; new fail-closed unresolved sentinel,True
292fe079b1be2777,False,draft,28.7,28.7,55.0,55.0,HIGH,HIGH,EDD,EDD,blocked,blocked,"[""floor_rule_edd_routing""]","[""floor_rule_edd_routing""]",{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:4effdc7d7876"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_ownership:1bf83192bce9"",""stale:unmapped_sector:a24dd1d3436f""]",[],BLOCKED,new fail-closed unresolved sentinel,True
8d75b4ff19ea3234,False,draft,16.0,16.0,16.0,16.0,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],{},"[""stale:unmapped_complexity:341171ee7c9e"",""stale:unmapped_entity_type:949260d787d5"",""stale:unmapped_monthly_volume:f9c6566e431d"",""stale:unmapped_ownership:241cc254ab91"",""stale:unmapped_sector:7f1b438f89c0"",""stale:unmapped_service:b31f77b68983"",""stale:unmapped_service:b6f0d36c88f8""]",[],BLOCKED,new fail-closed unresolved sentinel,True
7f2e2aed855567ed,True,edd_required,41.0,41.0,55.0,55.0,HIGH,HIGH,EDD,EDD,dual_control_required,blocked,"[""floor_rule_high_risk_sector""]","[""floor_rule_high_risk_sector""]",{},"[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_entity_type:485df6b42300"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_monthly_volume:9a9f7e2d21c8""]",[],BLOCKED,new fail-closed unresolved sentinel; approved compliance-review classification,True
9e0f925a8df502c8,False,pricing_review,25.0,25.0,55.0,55.0,HIGH,HIGH,EDD,EDD,blocked,blocked,"[""floor_rule_edd_routing"",""material_screening_disposition_floor""]","[""floor_rule_edd_routing"",""material_screening_disposition_floor""]",{},"[""stale:unmapped_complexity:af3b76ba7a5b"",""stale:unmapped_entity_type:d2e8adaee888"",""stale:unmapped_monthly_volume:80da052be32e"",""stale:unmapped_ownership:7eb765204e18""]",[],BLOCKED,new fail-closed unresolved sentinel,True
8ad9f4d9495b02e9,False,kyc_documents,61.1,69.8,61.1,69.8,HIGH,HIGH,EDD,EDD,blocked,blocked,[],[],"{""monthly_volume"":{""new"":4.0,""old"":2.0},""ownership"":{""new"":3.0,""old"":2.0},""service"":{""new"":3.0,""old"":2.0}}","[""stale:unmapped_complexity:5e3ff0c0fa40"",""stale:unmapped_entity_type:d2e8adaee888"",""stale:unmapped_introduction:f25861f0760b"",""stale:unmapped_sector:6f423c79eaff"",""stale:unmapped_service:e9656e5e5a07""]",[],BLOCKED,"approved mapping/parser change: monthly_volume, ownership, service; new fail-closed unresolved sentinel",True
0ac582d78a3df7e1,False,pricing_review,18.7,16.7,18.7,16.7,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],"{""monthly_volume"":{""new"":1.0,""old"":2.0}}","[""stale:unmapped_complexity:e6e76809352b"",""stale:unmapped_introduction:fa2ea61f23c6"",""stale:unmapped_sector:7f1b438f89c0""]",[],BLOCKED,approved mapping/parser change: monthly_volume; new fail-closed unresolved sentinel,True
3e0d6dffc3d7beac,False,kyc_documents,30.7,28.7,30.7,28.7,LOW,LOW,Fast Lane,Fast Lane,blocked,blocked,[],[],"{""monthly_volume"":{""new"":1.0,""old"":2.0}}","[""stale:unmapped_complexity:9b4aa98957a8"",""stale:unmapped_entity_type:d2e8adaee888"",""stale:unmapped_sector:c684ce75c5a9""]",[],BLOCKED,approved mapping/parser change: monthly_volume; new fail-closed unresolved sentinel,True
